No.;Common Name;Scientific Name;Abundance;Status
183;Banded Bay Cuckoo;Cacomantis sonneratii;U;RB
184;Plaintive Cuckoo;Cacomantis merulinus;U;RB
185;Rusty-breasted Cuckoo ##;Cacomantis sepulcralis;U;RB
186;Square-tailed Drongo-Cuckoo ##;Surniculus lugubris;U;RB WV
187;Large Hawk-Cuckoo;Hierococcyx sparverioides;R;WV PM
188;Malaysian Hawk-Cuckoo;Hierococcyx fugax;U;NBV
189;Hodgson's Hawk-Cuckoo;Hierococcyx nisicolor;U;WV
190;Indian Cuckoo;Cuculus micropterus;U;WV PM
191;Himalayan Cuckoo;Cuculus saturatus;R;PM
Family Tytonidae;;;;
192;Eastern Barn Owl;Tyto javanica;U;RB
Family Strigidae;;;;
193;Sunda Scops Owl;Otus lempiji;C;RB
194;Oriental Scops Owl;Otus sunia;R;WV PM
195;Barred Eagle-Owl ##;Bubo sumatranus;R;NBV
196;Buffy Fish Owl ##;Ketupa ketupu;U;RB
197;Spotted Wood Owl ##;Strix seloputo;U;RB
198;Brown Wood Owl ##;Strix leptogrammica;R;RB
199;Brown Hawk-Owl;Ninox scutulata;C;RB
200;Northern Boobook;Ninox japonica;R;ACC
201;Short-eared Owl;Asio flammeus;R;WV PM
Family Caprimulgidae;;;;
202;Malaysian Eared Nightjar ##;Lyncornis temminckii;R;R(B)
203;Grey Nightjar;Caprimulgus jotaka;U;WV PM
204;Large-tailed Nightjar;Caprimulgus macrurus;C;RB
205;Savanna Nightjar;Caprimulgus affinis;C;RB
Family Hemiprocnidae;;;;
206;Grey-rumped Treeswift;Hemiprocne longipennis;C;RB
207;Whiskered Treeswift;Hemiprocne comata;R;NBV
Family Apodidae;;;;
208;Plume-toed Swiftlet;Collocalia affinis;U;R(B)
209;Black-nest Swiftlet;Aerodramus maximus;C;RB
210;Germain's Swiftlet;Aerodramus germani;C;RB
211;Silver-rumped Needletail;Rhaphidura leucopygialis;R;NBV
212;White-throated Needletail;Hirundapus caudacutus;R;ACC
213;Silver-backed Needletail;Hirundapus cochinchinensis;U;WV PM
214;Brown-backed Needletail;Hirundapus giganteus;U;WV PM
215;Asian Palm Swift;Cypsiurus balasiensis;U;RB
216;Pacific Swift;Apus pacificus;U;PM WV
217;House Swift;Apus nipalensis;U;RB
Family Coraciidae;;;;
218;Oriental Dollarbird;Eurystomus orientalis;C;RB WV
Family Alcedinidae;;;;
219;Stork-billed Kingfisher;Pelargopsis capensis;U;RB
220;Ruddy Kingfisher ##;Halcyon coromanda;U;RB WV
221;White-throated Kingfisher;Halcyon smyrnensis;C;RB
222;Black-capped Kingfisher;Halcyon pileata;U;WV PM
223;Collared Kingfisher;Todiramphus chloris;A;RB
224;Blue-eared Kingfisher ##;Alcedo meninting;R;RB
225;Common Kingfisher;Alcedo atthis;C;WV
226;Oriental Dwarf Kingfisher;Ceyx erithaca;U;WV PM
Family Meropidae;;;;
227;Blue-tailed Bee-eater;Merops philippinus;C;WV
228;Blue-throated Bee-eater;Merops viridis;C;MB
Family Bucerotidae;;;;
229;Oriental Pied Hornbill ##;Anthracoceros albirostris;U;RB
230;Black Hornbill *;Anthracoceros malayanus;R;NBV
Family Megalaimidae;;;;
231;Lineated Barbet;Megalaima lineata;U;IRB
232;Red-crowned Barbet #*;Megalaima rafflesii;U;RB
233;Coppersmith Barbet;Megalaima haemacephala;C;RB
Family Picidae;;;;
234;Sunda Pygmy Woodpecker;Dendrocopos moluccensis;A;RB
235;White-bellied Woodpecker ##;Dryocopus javensis;R;R(B)
236;Banded Woodpecker;Chrysophlegma miniaceum;C;RB
237;Laced Woodpecker;Picus vittatus;C;RB
238;Common Flameback;Dinopium javanense;C;RB
239;Rufous Woodpecker;Micropternus brachyurus;U;RB
240;Buff-rumped Woodpecker;Meiglyptes tristis;R;NBV
 241;Great Slaty Woodpecker ;Mulleripicus pulverulentus;R;NBV
Family Falconidae;;;;
242;Black-thighed Falconet ##;Microhierax fringillarius;R;R(B)
243;Lesser Kestrel;Falco naumanni;R;ACC
244;Common Kestrel;Falco tinnunculus;U;WV
245;Amur Falcon;Falco amurensis;R;ACC
246;Eurasian Hobby;Falco subbuteo;R;ACC
247;Oriental Hobby;Falco severus;R;ACC
248;Peregrine Falcon;Falco peregrinus;U;WV
Family Cacatuidae;;;;
249;Tanimbar Corella *;Cacatua goffiniana;C;IRB
250;Yellow-crested Cockatoo **;Cacatua sulphurea;U;IRB
Family Psittacidae;;;;
251;Blue-rumped Parrot ##*;Psittinus cyanurus;U;R(B)
252;Rose-ringed Parakeet;Psittacula krameri;U;IRB
253;Red-breasted Parakeet;Psittacula alexandri;C;IRB
254;Long-tailed Parakeet *;Psittacula longicauda;C;RB
255;Coconut Lorikeet;Trichoglossus haematodus;U;IRB
256;Blue-crowned Hanging Parrot ##;Loriculus galgulus;U;RB
Family Eurylaimidae;;;;
257;Black-and-red Broadbill;Cymbirhynchus macrorhynchos;R;NBV
Family Pittidae;;;;
258;Hooded Pitta;Pitta sordida;U;WV PM MB
259;Blue-winged Pitta;Pitta moluccensis;U;WV PM
260;Mangrove Pitta ##*;Pitta megarhyncha;R;RB
Family Acanthizidae;;;;
261;Golden-bellied Gerygone;Gerygone sulphurea;C;RB
Family Vangidae;;;;
262;Black-winged Flycatcher-shrike;Hemipus hirundinaceus;R;NBV
Family Aegithinidae;;;;
